area_type,availability,location,size,bhk,total_sqft,bath,balcony,price,
Plot  Area,Ready To Move,Jnanabharathi Layout,4 Bedroom,4,"2,200.00",5,1,100,
Plot  Area,Ready To Move,Mysore Road,2 Bedroom,2,900.00,2,0,65,
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2,"1,116.00",2,2,37,
Built-up  Area,Ready To Move,Hoodi,2 BHK,2,948.00,2,1,75,
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,2,970.00,2,1,55,
Super built-up  Area,Ready To Move,Akshayanagara East,3 BHK,3,"1,519.00",3,2,67.23,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,200.00",2,1,65,
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,3,"1,760.00",3,2,127,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"4,400.00",5,3,525,
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,3,"1,914.00",3,3,179,
Super built-up  Area,Ready To Move,Budigere,3 BHK,3,"1,820.00",3,2,85.5,
Super built-up  Area,Ready To Move,Budigere,3 BHK,3,"1,820.00",3,2,93,
Built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,3,"1,565.00",3,2,78,
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,"1,334.00",2,3,42.69,
Super built-up  Area,19-Mar,Sarakki Nagar,2 BHK,2,924.00,2,2,76.23,
Super built-up  Area,Ready To Move,Jigani,2 BHK,2,914.00,2,2,49,
Built-up  Area,Ready To Move,Kengeri,1 BHK,1,500.00,1,1,17,
Super built-up  Area,18-Mar,Yelahanka,3 BHK,3,"2,145.00",3,3,125,
Plot  Area,Ready To Move,Yelahanka,5 Bedroom,5,"1,200.00",5,0,162,
Built-up  Area,18-Apr,Electronic City,3 BHK,3,"1,650.00",3,2,100,
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,4,"3,940.00",4,3,220,
Built-up  Area,18-Dec,Electronic City,2 BHK,2,"1,020.00",2,1,29.45,
Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,2,"1,180.00",2,3,58,
Super built-up  Area,Ready To Move,Ulsoor,2 BHK,2,"1,255.00",2,3,120,
Super built-up  Area,20-Jul,Langford Gardens,3 BHK,3,"2,777.29",5,2,650,
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,2,"1,014.00",2,1,35,
Built-up  Area,Ready To Move,Shampura,4 Bedroom,4,920.00,2,0,90,
Super built-up  Area,Ready To Move,Attibele,2 BHK,2,695.00,1,1,25,
Plot  Area,Ready To Move,Prithvi Layout,3 Bedroom,3,"2,273.00",4,3,220,
Super built-up  Area,18-Mar,GM Palaya,2 BHK,2,"1,140.00",2,2,48.95,
Built-up  Area,Ready To Move,Giri Nagar,6 Bedroom,6,"3,000.00",4,1,375,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,180.00",2,2,41,
Super built-up  Area,20-Aug,Begur Road,4 BHK,4,"2,400.00",4,2,152,
Super built-up  Area,Ready To Move,Attibele,2 BHK,2,850.00,1,1,25,
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2,"1,200.00",2,1,60,
Built-up  Area,18-Dec,"Bellandur, ",4 BHK,4,"3,160.00",4,3,206,
Super built-up  Area,Ready To Move,Hoodi,3 BHK,3,"1,769.00",3,3,96.87,
Plot  Area,Ready To Move,Jigani,4 Bedroom,4,"1,199.00",3,2,160,
Carpet  Area,18-Dec,Bhoganhalli,4 BHK,4,"1,554.00",4,1,131,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,243.00",2,2,46,
Plot  Area,18-Apr,2nd Block Jayanagar,4 Bedroom,4,"4,920.00",5,2,1150,
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,2,905.00,2,1,40,
Built-up  Area,Ready To Move,Kothanur,1 Bedroom,1,627.00,1,1,30,
Built-up  Area,18-Mar,Domlur,3 BHK,3,"2,180.00",3,2,285,
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,3,"2,400.00",3,2,260,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,"1,435.00",3,1,73,
Super built-up  Area,22-May,Jakkur,4 BHK,4,"3,405.10",6,3,400,
Built-up  Area,Ready To Move,Kodihalli,3 BHK,3,"1,620.00",3,2,130,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,"1,862.00",3,2,125,
Super built-up  Area,19-Nov,Kaikondrahalli,2 BHK,2,674.00,1,1,19.9,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,220.00",2,1,59,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,027.00",2,2,44,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,025.00",2,1,49,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,430.00",2,3,54.5,
Super built-up  Area,Ready To Move,Panathur,2 BHK,2,"1,235.00",2,3,65,
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3,"1,291.00",2,3,32,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,498.00",3,2,95,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"2,180.00",3,2,240,
Super built-up  Area,18-Apr,Electronic City,2 BHK,2,"1,000.00",2,1,29.7,
Plot  Area,Ready To Move,Ejipura,2 Bedroom,2,922.00,2,1,70,
Built-up  Area,Ready To Move,Victoria Layout,2 BHK,2,850.00,2,1,72,
Plot  Area,Ready To Move,New Thippasandra,3 Bedroom,3,750.00,3,2,155,
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,2,"1,123.00",2,2,64,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,235.00",2,1,75,
Super built-up  Area,Ready To Move,Kogilu,2 BHK,2,"1,250.00",2,1,55.55,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"2,403.00",5,0,360,
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,2,984.00,2,1,45.91,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,305.00",2,1,99,
Plot  Area,Ready To Move,Attur Layout,2 Bedroom,2,"1,200.00",1,0,65,
Plot  Area,Ready To Move,1st Block HRBR Layout,3 Bedroom,3,600.00,3,1,90,
Super built-up  Area,19-Jun,Hebbal,4 BHK,4,"2,790.00",5,3,204,
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,4,"2,010.00",3,2,125,
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,995.00,2,0,42,
Built-up  Area,Ready To Move,Varthur Road,2 BHK,2,"1,277.00",2,2,59,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,"1,236.00",2,2,61.33,
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,2,"1,265.00",2,3,67,
Super built-up  Area,18-Apr,Kanakpura Road,1 BHK,1,525.00,2,0,27,
Built-up  Area,Ready To Move,Gubbalala,5 BHK,5,"2,570.00",4,0,141,
Plot  Area,Ready To Move,Hennur Road,4 Bedroom,4,"2,400.00",5,3,390,
Super built-up  Area,Ready To Move,Shikaripalya,3 BHK,3,"1,442.00",3,2,56.24,
Super built-up  Area,Ready To Move,Ardendale,2 BHK,2,"1,224.00",2,2,70,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,"1,205.00",2,1,59,
Super built-up  Area,Ready To Move,Richmond Town,2 BHK,2,"1,233.00",2,3,100,
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,2,"1,312.00",2,3,69,
Super built-up  Area,Ready To Move,Electronic City,3 BHK,3,"1,449.00",3,2,90,
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,2,"1,090.00",2,1,54,
Plot  Area,Ready To Move,Kaggadasapura,5 Bedroom,5,"2,100.00",5,0,150,
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,3,"1,390.00",2,3,62.55,
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,2,"1,200.00",2,3,78,
Plot  Area,Ready To Move,Mallasandra,4 Bedroom,4,600.00,2,2,50,
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,2,"1,000.00",2,2,58,
Plot  Area,18-Oct,Devanahalli,4 Bedroom,4,"2,400.00",5,2,190,
Super built-up  Area,21-Dec,Thanisandra,3 BHK,3,"1,732.00",3,1,85.73,
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2,"1,290.00",2,2,80,
Super built-up  Area,Ready To Move,Marasandra,3 BHK,3,"1,840.00",3,3,85,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,917.00",4,2,100,
Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,2,"1,100.00",2,2,57,
Super built-up  Area,Ready To Move,Kudlu,3 BHK,3,"1,455.00",2,3,60,
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,4,"2,774.00",4,3,208,
Plot  Area,Ready To Move,Haralur Road,5 Bedroom,5,"1,200.00",5,0,255,
Super built-up  Area,Ready To Move,Devarachikkanahalli,3 BHK,3,"1,425.00",2,2,65,
Super built-up  Area,18-Dec,Whitefield,3 BHK,3,"1,655.00",3,1,113,
Super built-up  Area,18-Mar,Haralur Road,4 BHK,4,"2,805.00",5,3,160,
Built-up  Area,Ready To Move,R.T. Nagar,7 Bedroom,7,600.00,7,3,93,
Super built-up  Area,Ready To Move,AGS Layout,2 BHK,2,"1,040.00",2,1,46.79,
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,2,"1,126.00",2,1,55,
Plot  Area,Ready To Move,Kodichikkanahalli,6 Bedroom,6,"1,600.00",4,1,200,
Super built-up  Area,Ready To Move,Hebbal,2 BHK,2,"1,250.00",2,1,55.55,
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,4,"1,800.00",4,2,180,
Plot  Area,Ready To Move,Kalkere Channasandra,2 Bedroom,2,"1,200.00",2,0,53,
Built-up  Area,Ready To Move,Ashirvad Colony,4 BHK,4,"2,050.00",3,1,100,
Super built-up  Area,Ready To Move,Whitefield,1 BHK,1,530.00,1,1,29.44,
Built-up  Area,19-Jun,Sarjapur,4 Bedroom,4,"2,585.50",4,0,139.5,
Super built-up  Area,Ready To Move,Kambipura,2 BHK,2,883.00,2,1,37,
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,3,"1,490.00",2,2,59.6,
Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,2,"1,295.00",2,2,95,
Super built-up  Area,Ready To Move,Sompura,3 BHK,3,"1,275.00",3,1,59,
Super built-up  Area,Ready To Move,Doddabanahalli,2 BHK,2,800.00,2,2,30,
Super built-up  Area,Ready To Move,Devanahalli,1 BHK,1,"1,200.00",1,0,95,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,"1,063.00",2,1,58,
Super built-up  Area,Ready To Move,Balagere,1 BHK,1,656.00,1,1,43,
Super built-up  Area,Ready To Move,Shakthi Nagar,2 BHK,2,"1,125.00",2,2,36,
Super built-up  Area,18-Dec,Marathahalli,2 BHK,2,881.00,2,1,48.06,
Plot  Area,Ready To Move,Nayandanahalli,9 Bedroom,9,"1,350.00",8,2,200,
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,2,700.00,1,1,32,
Plot  Area,Ready To Move,AGS Layout,3 Bedroom,3,"1,936.00",3,0,110,
Super built-up  Area,18-Dec,Hosa Road,3 BHK,3,"1,680.00",3,1,101,
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,2,"1,253.00",2,2,57,
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,"1,640.00",3,3,230,
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,3,"1,082.00",3,2,50,
Built-up  Area,18-Dec,Electronic City,2 BHK,2,"1,065.00",2,1,30.75,
Super built-up  Area,18-Dec,Iblur Village,3 BHK,3,"2,100.00",4,2,145,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,070.00",2,1,58,
Super built-up  Area,16-Sep,Raja Rajeshwari Nagar,3 BHK,3,"1,280.00",3,2,57.6,
Plot  Area,18-Apr,6th block Koramangala,5 Bedroom,5,"1,200.00",5,2,300,
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,2,"1,125.00",2,1,29.25,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,755.00",3,2,122,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,210.00",2,1,54,
Super built-up  Area,18-Sep,Talaghattapura,2 BHK,2,951.00,2,2,30.43,
Built-up  Area,18-Apr,Electronic City,3 BHK,3,"1,500.00",2,1,75,
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3,"1,652.50",3,2,90,
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,3,"1,381.00",2,2,76.18,
Super built-up  Area,18-Dec,Whitefield,2 BHK,2,"1,085.00",2,1,57,
Super built-up  Area,18-Apr,Whitefield,1 BHK,1,905.00,1,1,50,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3,"1,685.00",3,2,95,
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,2,"1,200.00",2,2,75,
Super built-up  Area,Ready To Move,Anandapura,2 BHK,2,"1,151.00",2,1,42.9,
Built-up  Area,Ready To Move,Brookefield,4 Bedroom,4,"3,532.00",3,3,170,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,665.00",3,2,86.91,
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,2,800.00,2,1,40,
Built-up  Area,Ready To Move,Chamrajpet,2 Bedroom,2,"1,050.00",2,1,162,
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,2,"1,030.00",2,2,46.5,
Super built-up  Area,Ready To Move,Hoodi,2 BHK,2,"1,257.00",2,1,71.03,
Super built-up  Area,18-Dec,Whitefield,3 BHK,3,"1,600.00",3,2,82,
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,3,"1,465.00",3,3,75,
Super built-up  Area,Ready To Move,Jakkur,3 BHK,3,"1,650.00",3,2,111,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,243.00",2,2,46,
Built-up  Area,Ready To Move,Yelahanka New Town,2 Bedroom,2,680.00,1,1,80,
Plot  Area,18-Aug,Whitefield,4 Bedroom,4,"1,230.00",4,2,80,
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,"1,300.00",2,2,82,
Built-up  Area,Ready To Move,KR Puram,2 BHK,2,"1,000.00",2,1,44.5,
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,2,"1,146.00",2,1,53.8,
Super built-up  Area,Ready To Move,Hennagara,6 BHK,6,"1,200.00",6,3,120,
Super built-up  Area,18-Mar,Indira Nagar,3 BHK,3,"2,601.00",4,0,312,
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,3,"2,159.00",3,2,110,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,255.00",2,2,40,
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,2,"1,130.00",2,2,60,
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,2,"1,200.00",2,1,60,
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,040.00",2,1,37,
Plot  Area,Ready To Move,TC Palaya,8 Bedroom,8,"1,500.00",8,2,150,
Plot  Area,Ready To Move,Byrathi Village,4 Bedroom,4,906.00,3,2,55,
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,"1,180.00",2,1,41.3,
Plot  Area,Ready To Move,Ullal Uppanagar,7 Bedroom,7,"1,200.00",7,2,169,
Plot  Area,Ready To Move,Govindpura,6 Bedroom,6,850.00,7,2,100,
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,"1,200.00",2,3,47,
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,374.00",3,2,51,
Super built-up  Area,Ready To Move,Vidyaranyapura,9 BHK,9,"4,700.00",10,3,130,
Super built-up  Area,19-Dec,Whitefield,1 BHK,1,630.50,1,0,32.15,
Plot  Area,Ready To Move,south,3 Bedroom,3,"2,400.00",2,0,480,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,027.00",2,2,44,
Plot  Area,Ready To Move,Ittamadu,5 Bedroom,5,"1,200.00",4,0,130,
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,3,"2,384.00",4,2,165,
Super built-up  Area,19-Aug,Electronic City,3 BHK,3,"1,033.00",2,2,28.41,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,200.00",2,1,54,
Built-up  Area,Ready To Move,Haralur Road,3 BHK,3,"2,017.00",3,2,105,
Plot  Area,Ready To Move,Rainbow Drive,3 Bedroom,3,"1,500.00",3,2,138,
Super built-up  Area,Ready To Move,Kamala Nagar,2 BHK,2,700.00,2,0,43,
Plot  Area,Ready To Move,Shampura,6 Bedroom,6,"1,150.00",6,2,75,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,495.00",2,2,52.33,
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,"1,302.00",2,1,68.5,
Built-up  Area,18-Mar,Whitefield,1 BHK,1,905.00,1,1,52,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,303.00",2,1,55.79,
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3,"1,350.00",3,0,71,
Super built-up  Area,Ready To Move,Gottigere,3 BHK,3,"1,380.00",2,2,95,
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,"1,620.00",3,1,110,
Built-up  Area,Ready To Move,Chandapura,4 Bedroom,4,"4,800.00",4,3,250,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,000.00",2,1,38.5,
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,3,800.00,4,0,88,
Super built-up  Area,18-Apr,Thanisandra,2 BHK,2,"1,250.00",1,1,54,
Built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,3,"1,750.00",3,3,170,
Super built-up  Area,Ready To Move,Anekal,3 BHK,3,997.00,3,2,55,
Super built-up  Area,15-Oct,Kothanur,3 BHK,3,"1,760.00",3,0,111,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,322.00",2,2,75,
Plot  Area,Ready To Move,Kanaka Nagar,3 Bedroom,3,"1,365.00",3,0,99,
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,3,"1,500.00",3,2,125,
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,3,"1,256.00",2,2,50,
Super built-up  Area,Ready To Move,Brookefield,2 BHK,2,941.00,2,2,48,
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,4,"5,000.00",4,3,465,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,665.00",3,2,86.58,
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,2,"1,414.00",2,0,84.18,
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,3,"1,270.00",2,3,55.25,
Plot  Area,Ready To Move,Madiwala,3 Bedroom,3,800.00,2,2,80,
Plot  Area,Ready To Move,Kengeri Satellite Town,4 Bedroom,4,"4,100.00",3,0,300,
Built-up  Area,Ready To Move,Mathikere,6 Bedroom,6,"1,800.00",3,0,105,
Built-up  Area,Ready To Move,Pattanagere,2 BHK,2,850.00,2,0,35,
Super built-up  Area,21-Mar,Kanakpura Road,1 BHK,1,712.00,1,1,38.44,
Super built-up  Area,17-Dec,Rajaji Nagar,4 BHK,4,"2,648.00",5,0,251.5,
Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 Bedroom,3,900.00,4,2,180,
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2,900.00,2,0,55,
Super built-up  Area,Ready To Move,Hebbal,2 BHK,2,"1,200.00",2,1,49,
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,1,654.00,1,1,22,
Super built-up  Area,Ready To Move,Peenya,2 BHK,2,708.00,1,1,55,
Plot  Area,Ready To Move,Singapura Village,4 Bedroom,4,600.00,5,3,75,
Built-up  Area,Ready To Move,Wilson Garden,3 BHK,3,"1,680.00",3,3,135,
Super built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,2,990.00,2,2,58,
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,"1,380.00",2,1,42,
Super built-up  Area,18-May,Hebbal,2 BHK,2,"1,088.00",2,2,62,
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,"1,414.00",3,2,77.5,
Built-up  Area,Ready To Move,Seshadripuram,2 BHK,2,"1,240.00",2,1,100,
Built-up  Area,Ready To Move,Ganesha Block,3 BHK,3,"1,810.00",3,3,118,
Super built-up  Area,19-Dec,4th Block Jayanagar,3 BHK,3,"2,005.00",3,2,240,
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,"1,185.00",2,2,58,
Plot  Area,18-Oct,Whitefield,3 Bedroom,3,"1,200.00",3,2,57.15,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,070.00",2,1,52,
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,2,"1,265.00",2,1,58,
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,2,"1,100.00",2,1,55,
Built-up  Area,Ready To Move,Friends Colony,2 BHK,2,"1,035.00",2,2,44,
Super built-up  Area,Ready To Move,Sonnenahalli,1 BHK,1,614.50,1,0,30.715,
Built-up  Area,Ready To Move,2nd Block Jayanagar,2 BHK,2,"1,000.00",2,1,97,
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,2,"1,179.00",2,2,49.35,
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,3,"1,650.00",3,1,84,
Plot  Area,Ready To Move,Malur Hosur Road,6 Bedroom,6,"2,800.00",4,3,100,
Plot  Area,Ready To Move,Lakshmipura Vidyaanyapura,8 Bedroom,8,"3,500.00",6,2,120,
Built-up  Area,Ready To Move,Nagaraja Garden,3 BHK,3,"1,430.00",3,1,78.65,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,"1,130.00",2,2,58,
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,3,"1,850.00",2,0,110,
Super built-up  Area,Ready To Move,Hennur,3 BHK,3,"1,340.00",3,2,54.24,
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,4,"4,334.00",2,0,338,
Plot  Area,Ready To Move,Nagawara Junction,2 Bedroom,2,600.00,2,0,30,
Super built-up  Area,Ready To Move,Banashankari,3 BHK,3,"2,582.00",5,2,250,
Super built-up  Area,Ready To Move,Channasandra,2 BHK,2,"1,160.00",2,1,55,
Built-up  Area,Ready To Move,Hegganahalli,1 Bedroom,1,"1,200.00",2,1,45,
Built-up  Area,18-Aug,Rajanna Layout,2 BHK,2,"1,116.00",2,1,37.6,
Plot  Area,Ready To Move,Nagarbhavi  BDA Complex,3 Bedroom,3,600.00,2,1,85,
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,3,"2,663.00",4,1,338,
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,2,"1,090.00",2,2,45,
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,2,"1,100.00",2,1,45,
Super built-up  Area,18-Aug,Kammasandra,3 BHK,3,"1,365.00",2,1,34.13,
Super built-up  Area,20-Feb,Vijayanagar,3 BHK,3,"1,484.00",3,2,79.19,
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,3,"1,630.00",3,2,68,
Super built-up  Area,18-May,Whitefield,3 BHK,3,"1,451.00",2,2,52.43,
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,2,"1,330.00",2,1,107,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"2,127.00",3,2,135,
Plot  Area,Ready To Move,Adityanagar,5 Bedroom,5,875.00,5,3,120,
Plot  Area,Ready To Move,Hallehalli,4 Bedroom,4,"1,260.00",4,2,65,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,173.00",2,2,45.75,
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3,"1,445.00",2,1,56,
Super built-up  Area,Ready To Move,Jayamahal Extension,4 BHK,4,"2,250.00",4,1,400,
Plot  Area,18-Dec,Bannerghatta Road,3 Bedroom,3,"1,500.00",4,2,239,
Super built-up  Area,18-Nov,Thanisandra,3 BHK,3,"2,336.50",3,0,115.89,
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,2,"1,197.00",2,1,47.88,
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,4,"1,200.00",4,1,225,
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,5,"3,930.00",7,0,329,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,450.00",3,3,62.4,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,187.00",2,1,37.85,
Plot  Area,Ready To Move,Wilson Garden,6 Bedroom,6,"4,000.00",6,3,850,
Super built-up  Area,18-Aug,Channasandra,2 BHK,2,"1,050.00",2,2,41,
Super built-up  Area,18-May,Panathur,3 BHK,3,"1,370.00",2,2,54.8,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,036.00",2,2,39.37,
Super built-up  Area,18-Jun,JP Nagar,3 BHK,3,"1,275.00",3,2,41.2,
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,4,"2,010.00",3,2,115,
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,2,"1,418.00",2,2,106,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,"1,265.00",2,2,46.6,
Super built-up  Area,Ready To Move,Anandapura,3 BHK,3,"1,576.00",3,2,58,
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,2,"1,148.00",2,1,56,
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,2,"1,000.00",2,1,36,
Super built-up  Area,Ready To Move,Kudlu,3 BHK,3,"1,293.00",2,2,85,
Plot  Area,18-May,TC Palaya,3 Bedroom,3,"1,200.00",2,0,66,
Super built-up  Area,Ready To Move,Munnekollal,2 BHK,2,"1,210.00",2,3,75,
Built-up  Area,Ready To Move,HSR Layout,2 BHK,2,"1,126.00",2,1,69,
Built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,3,"1,840.00",4,1,175,
Built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,3,"1,440.00",2,0,70,
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,3,"1,300.00",2,2,52,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,"1,276.00",2,2,75,
Plot  Area,Ready To Move,Gidada Konnenahalli,6 Bedroom,6,600.00,4,2,105,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,216.00",2,1,83,
Super built-up  Area,18-Apr,Marenahalli,1 BHK,1,840.00,1,0,75,
Plot  Area,Ready To Move,Sector 1 HSR Layout,5 Bedroom,5,"1,240.00",5,3,300,
Built-up  Area,Ready To Move,Sompura,2 BHK,2,"1,126.00",2,2,39,
Plot  Area,Ready To Move,Mysore Road,1 Bedroom,1,45.00,1,0,23,
Super built-up  Area,18-May,Raja Rajeshwari Nagar,2 BHK,2,"1,162.00",2,0,65,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,301.00",2,2,65,
Super built-up  Area,19-Dec,Devanahalli,1 BHK,1,658.00,1,1,34,
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,3,"1,350.00",3,1,250,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,"2,500.00",3,2,280,
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,1,839.00,1,1,63,
